der,abend,evening
das,abendessen,dinner
das,abendessen,supper
das,abenteuer,adventure
die,absicht,purpose
die,absicht,intention
der,absturz,crash
die,abteilung,department
die,abwesenheit,absence
der,abzug,trigger
die,achselzucken,shrug
der,achsschenkel,knuckle
die,ad,ad
der,adler,eagle
die,adresse,address
der,affe,monkey
die,affäre,affair
der,agent,agent
die,agentur,agency
der,akt,act
die,aktentasche,briefcase
die,aktie,stock
die,aktion,action
die,aktivität,activity
der,akzent,accent
der,albtraum,nightmare
das,alien,alien
der,alkohol,alcohol
die,allgemeine,general
der,altar,altar
das,alter,age
die,ameise,ant
die,amerikaner,american
die,anderen,others
der,anfang,beginning
der,anfang,start
die,anforderung,request
das,angebot,offer
die,angel,fishing
der,angestellte,clerk
die,angewohnheit,habit
der,angriff,attack
die,angst,fear
die,angst,anxiety
der,anhänger,trailer
die,anhörung,hearing
die,ankunft,arrival
die,anleitung,instruction
der,anruf,call
der,ansatz,approach
der,anspruch,claim
der,ansturm,rush
die,antwort,answer
die,antwort,response
die,antwort,reply
der,anwalt,lawyer
der,anwalt,attorney
das,anwesen,estate
die,anzahl,number
der,anzug,suit
der,apfel,apple
die,arbeit,work
der,arbeiter,worker
der,arbeitnehmer,employee
das,argument,argument
der,arm,arm
die,armee,army
das,arschloch,asshole
die,art,kind
die,art,sort
die,arten,species
den,artikel,article
die,asche,ash
das,aspekt,aspect
das,ass,ace
der,assistent,assistant
der,ast,branch
der,atem,breath
das,atem,breathing
die,attitüde,attitude
das,auf,goodbye
die,auffahrt,driveway
die,aufgabe,task
der,aufgang,rise
die,aufmerksamkeit,attention
der,aufnehmer,pickup
der,aufprall,impact
die,aufregung,excitement
der,aufwand,effort
der,aufwand,expense
der,aufzug,elevator
das,auge,eye
die,augenbraue,eyebrow
das,augenlid,eyelid
der,ausdruck,expression
der,ausgang,exit
die,ausrüstung,equipment
die,aussage,statement
das,aussehen,look
die,aussicht,view
der,austausch,exchange
das,auto,car
die,autobahn,highway
der,autor,author
die,autorität,authority
das,baby,baby
der,bach,creek
der,backofen,oven
das,bad,bathroom
das,bad,bath
der,bahnhof,station
die,balance,balance
der,balkon,balcony
der,ball,ball
der,ballon,balloon
die,band,band
das,band,tape
das,band,tie
die,bank,bank
die,bank,bench
die,bar,bar
der,barkeeper,bartender
die,barmherzigkeit,mercy
der,bart,beard
die,baseball,baseball
der,basketball,basketball
der,bastard,bastard
die,batterie,battery
der,bauch,stomach
der,bauch,belly
der,bauer,farmer
der,bauernhof,farm
der,baum,tree
die,baumwolle,cotton
der,beat,beat
der,becher,mug
das,bedauern,regret
die,bedeutung,meaning
die,bedingung,condition
die,bedrohung,threat
das,bedürfnis,need
der,befehl,command
die,begegnung,encounter
die,begeisterung,enthusiasm
der,begleiter,companion
der,begleiter,attendant
der,begriff,term
das,begräbnis,funeral
die,begrüßung,greeting
die,behandlung,treatment
das,bein,leg
das,beispiel,example
die,bekleidung,clothing
das,belle,belle
die,bemerkung,remark
die,beobachtung,observation
der,bereich,range
der,berg,mountain
der,berg,mount
der,beruf,job
die,berührung,touch
die,besatzung,crew
die,beschreibung,description
die,beschwerde,complaint
der,besitz,possession
die,bestellung,order
der,besuch,visit
der,besucher,visitor
der,betreiber,operator
das,bett,bed
der,beutel,bag
die,bevölkerung,population
die,bewegung,movement
die,bewegung,motion
die,bewegung,move
der,beweis,evidence
der,beweis,proof
der,bewohner,resident
das,bewusstsein,consciousness
die,beziehung,relation
die,bibel,bible
die,bibliothek,library
die,biene,bee
das,bier,beer
das,biest,beast
das,bild,picture
das,bild,image
der,bildschirm,screen
der,bildschirm,display
der,bildschirm,monitor
die,bildung,education
die,bindung,bond
der,bischof,bishop
der,biss,bite
die,bit,bit
die,bitch,bitch
die,blase,bubble
das,blatt,leaf
das,blatt,sheet
das,blaue,blue
der,bleistift,pencil
die,blendung,glare
der,blick,gaze
der,blick,glance
der,blick,glimpse
der,blitz,flash
der,blitz,lightning
der,block,block
die,blume,flower
die,bluse,blouse
das,blut,blood
der,bluterguss,bruise
die,bob,bob
der,boden,floor
der,boden,ground
der,boden,bottom
der,bogen,bow
der,bogen,arch
die,bogen,arc
der,bogenschütze,archer
die,bohne,bean
der,bolzen,bolt
die,bombe,bomb
der,boom,boom
das,boot,boat
das,boot,boot
die,branche,industry
die,braune,brown
die,braut,bride
die,bremse,brake
der,brief,letter
die,brille,glasses
die,brise,breeze
das,brot,bread
der,bruder,brother
der,brunnen,fountain
die,brust,chest
die,brust,breast
die,brücke,bridge
das,buch,book
die,bucht,bay
der,buck,buck
der,bulle,bull
das,bullshit,bullshit
die,burg,castle
die,burst,burst
der,bus,bus
der,busch,bush
die,buster,buster
die,butter,butter
der,bär,bear
das,böse,evil
der,büffel,buffalo
das,bügeleisen,iron
die,bühne,stage
das,bündel,bunch
das,bündel,bundle
der,bürger,citizen
der,bürgermeister,mayor
der,bürgermeister,major
der,bürgersteig,sidewalk
der,bürgersteig,pavement
das,büro,office
das,büro,bureau
das,cafe,cafe
das,camp,camp
der,campus,campus
der,champagner,champagne
die,chance,chance
die,chancen,odds
das,chaos,chaos
der,charakter,character
der,charm,charm
der,chef,boss
der,chef,chief
die,china,china
der,chip,chip
die,chunk,chunk
